sap-id;street;zip;place;state;network-address
3197;Thunstrasse 22;3110;Münsingen;BE;#N/A
3410;Hauptstrasse 19;6015;Reussbühl;LU;10.110.226.112
3411;Zugerstrasse 64;6340;Baar;ZG;10.110.226.128
3412;Klarastrasse 12;9320;Arbon;TG;10.110.226.144
3414;Tramstrasse 22;9444;Diepoldsau;SG;10.110.226.160
3415;Kantonsstrasse 300;3900;Brig;VS;10.110.226.176
3417;Dorfstrasse 20;4612;Wangen b. Olten;SO;10.110.226.192
3418;Fichtenstrasse 20;8570;Weinfelden;TG;10.110.226.208
3419;Rorschacherstrasse 133;9450;Lüchingen;SG;10.110.226.224
3420;Grenzstrasse 21;9430;St. Margrethen;SG;10.110.226.240
3421;Am Wasser 146;8049;Zürich;ZH;10.110.241.80
3422;Sissacherstrasse 24;4460;Gelterkinden;BL;10.110.225.128
3425;Bassersdorferstrasse 113;8302;Kloten;ZH;10.110.227.0
3428;Untere Dürrmühlestrasse 19;4704;Niederbipp;BE;10.110.227.16
3430;Weinfelderstrasse 115;8580;Amriswil;TG;10.110.227.32
3431;Sarganserstrasse 40;7310;Bad Ragaz;SG;10.110.227.48
3432;Reinacherstrasse 202-204;4053;Basel;BS;10.110.227.64
3434;St. Gallerstrasse 28;9470;Buchs;SG;10.110.227.80
3435;Rheinstrasse 9;9463;Oberriet;SG;10.110.227.96
3436;Sonnenstrasse 16;8280;Kreuzlingen;TG;10.110.227.112
3438;Wilerstrasse 48;9630;Wattwil;SG;10.110.227.128
3439;Rudolf-Dieselstrasse 13;8404;Winterthur;ZH;10.110.227.144
3440;Seestrasse 67;8800;Thalwil;ZH;10.110.227.160
3441;Delfterstrasse 18;5004;Aarau;AG;10.110.227.176
3442;Leimernweg 53;3270;Aarberg;BE;10.110.227.192
3443;Niederhaslistrasse 9;8157;Dielsdorf;ZH;10.110.225.112
3444;Oberwilerstrasse 40;4106;Therwil;BL;10.110.227.208
3445;Kirchbergstrasse 102;3400;Burgdorf;BE;10.110.227.224
3446;Zürcherstrasse 32;8500;Frauenfeld;TG;10.110.227.240
3447;Essanestrasse 15;9492;Eschen;FL;10.110.228.0
3448;Aarauerstrasse 68;5734;Reinach;AG;10.110.228.16
3449;Bahnhofstrasse 73;8590;Romanshorn;TG;10.110.228.32
3451;Gartenweg 6;5606;Dintikon;AG;10.110.224.96
3452;Thurgauerstrasse 35;9400;Rorschach;SG;10.110.228.48
3453;St. Jakobstrasse 133;4132;Muttenz;BL;10.110.228.64
3454;Gotthardstrasse 2 a;6467;Schattdorf;UR;10.110.228.80
3455;Zürichstrasse 70;8306;Brüttisellen;ZH;10.110.224.64
3457;Sihlbruggstrasse 152;6340;Baar;ZG;10.110.228.96
3458;Wattstrasse 3;9240;Uzwil;SG;10.110.241.96
3459;Favrestrasse 6;9016;St. Gallen;SG;10.110.228.112
3460;Oltnerstrasse 127;4663;Aarburg;AG;10.110.228.128
3461;Birseckstrasse 95;4144;Arlesheim;BL;10.110.224.32
3462;Adlikerstrasse 285;8105;Regensdorf;ZH;10.110.228.144
3465;Lindenstrasse 1;8604;Volketswil;ZH;10.110.228.160
3466;Brüglingerstrasse 83;4053;Basel;BS;10.110.228.176
3467;Hauptstrasse 62;4853;Murgenthal;AG;10.110.224.144
3468;Wengimattstrasse 1;4710;Klus-Balsthal;SO;10.110.228.192
3469;Hinwilerstrasse 11;8623;Wetzikon;ZH;10.110.225.144
3470;Grossfeldstrasse 65;8887;Mels;SG;10.110.228.208
3471;Baslerstrasse 5;4102;Binningen;BL;10.110.228.224
3472;Zürcherstrasse 49;4310;Rheinfelden;AG;10.110.228.240
3473;Hauptstrasse 45;5113;Holderbank;AG;10.110.229.0
3474;Gurzelenstrasse 2;4512;Bellach;SO;10.110.229.16
3475;Maihofstrasse 101;6006;Luzern;LU;10.110.229.32
3476;im Wängli 6;8910;Affoltern am Albis;ZH;10.110.229.48
3477;Toggenburgerstrasse 103;9500;Wil;SG;10.110.229.64
3478;Menznauerstrasse 29;6110;Wolhusen;LU;10.110.241.112
3479;Ettiswilerstrasse 41 a;6130;Willisau;LU;10.110.229.80
3480;Rue Cardinale Mermillod 11;1227;Carouge;GE;10.110.229.96
3481;Route de St-Nicolas-de-Flüe 1;1700;Fribourg;FR;10.110.229.112
3482;Rue de la Fiaz 38 - 40;2300;La Chaux de Fonds;NE;10.110.229.128
3483;Route de Delémont 13;2830;Courrendlin;JU;10.110.229.144
3484;Rue du Stand 56;2800;Delémont;JU;10.110.229.160
3485;Rue de Soleure 60;2740;Moutier;BE;10.110.229.176
3486;Route du Levant 96;1920;Martigny;VS;10.110.229.192
3487;Route du Bois;1753;Matran;FR;10.110.229.208
3488;Route des Illettes 1;1870;Monthey;VS;10.110.229.224
3489;Champs-Montants 8;2074;Marin;NE;10.110.229.240
3490;Route de Sion 115;3960;Sierre;VS;10.110.230.0
3491;Solothurnstrasse 132;2504;Biel;BE;10.110.225.32
3492;Pra Riond 1;1635;La Tour deTrême FR;FR;10.110.225.96
3493;Rue de la Gare 37;1964;Conthey;VS;10.110.230.16
3494;Chemain de Saugy 1;1023;Crissier;VD;10.110.230.32
3495;Centre Commercial, Littoral C.;1165;Allaman;VD;10.110.230.48
3496;Rue de Lyon 100;1203;Genève;GE;10.110.230.64
3497;Route de Reculan 1;1024;Ecublens;VD;10.110.230.80
3498;Z.A. Pré Jacquet 1;1868;Collombey;VS;10.110.230.96
3499;Centre Commercial Riviera;1847;Rennaz;VD;10.110.230.112
3500;Route de St.-Croix;1400;Yverdon-les-Bains;VD;10.110.241.128
3501;Via Cantonale 17;6916;Grancia;TI;10.110.230.128
3502;Via Cantonale;6593;Cadenazzo;TI;10.110.230.144
3504;Via San Gottardo 73;6500;Bellinzona;TI;10.110.230.160
3505;Höheweg 26;3800;Interlaken;BE;10.110.230.176
3506;Bahnhofplatz 11;8953;Dietikon;ZH;10.110.230.192
3507;Bahnhofplatz 1;4410;Liestal;BL;10.110.230.208
3508;Panoramastrasse 1;3600;Thun;BE;10.110.230.224
3510;Autobahnrasträtte A1;8310;Kemptthal;ZH;10.110.230.240
3511;Autobahnrasstätte A1 Gunzgen Süd;4616;Kappel;SO;10.110.231.0
3512;Promenade 63;7270;Davos Platz;GR;10.110.231.16
3513;Güterstrasse 257;4053;Basel;BS;10.110.231.32
3514;Rorschacherstrasse 216/218;9000;St.Gallen;SG;10.110.231.48
3515;Äussere Baselstrasse 263;4125;Riehen;BS;10.110.231.64
3516;Promenade 143;7260;Davos Dorf;GR;10.110.231.80
3517;Birmensdorferstrasse 55;8004;Zürich;ZH;10.110.241.144
3518;Brunnenstrasse 12;8604;Volketswil;ZH;10.110.231.96
3519;Hausimollstrasse 3;4622;Egerkingen;SO;10.110.231.112
3520;Haupstrasse 29;8246;Langwiesen;ZH;10.110.231.128
3521;Rue des Alpes 80;1820;Montreux;VD;10.110.231.144
3522;Robert-Walser-Platz 1;2502;Biel;BE;10.110.231.160
3523;Relais de la côte aire jura;1183;Bursins;VD;10.110.231.176
3524;Relais de la Côte (aire Lac);1183;Bursins;VD;10.110.226.64
3525;La Bichette;1267;Vich;VD;10.110.231.192
3526;Place de la Gare 9;2800;Delémont;JU;10.110.231.208
3527;Eymattstrasse 15;3027;Bern;BE;10.110.231.224
3528;Grabenstrasse 6;8184;Bachenbülach;ZH;10.110.231.240
3531;St. Gallerstrasse 238;9200;Gossau;SG;10.110.232.0
3533;Streitgasse 20;4051;Basel;BS;10.110.232.16
3546;Gotthardstrasse 23;6414;Oberarth;SZ;10.110.232.32
3547;Bahnhofstrasse 156;6423;Seewen;SZ;10.110.232.48
3549;Längfeldweg 43;2504;Biel;BE;10.110.232.64
3551;Au Milavy;1580;Avenches;VD;10.110.232.80
3552;Place de la Gare 5;1800;Vevey;VD;10.110.232.96
3562;Nagereija 15;3984;Fiesch;VS;10.110.232.112
3563;Hauptstrasse 15;5070;Frick;AG;10.110.232.128
3565;Badenerstrasse 120;8004;Zürich;ZH;10.110.241.160
3566;Rue des Casernes 17;1950;Sion;VS;10.110.232.144
3575;Schwarzwaldallee 200;4058;Basel;BS;10.110.232.160
3576;Avenue d' Ouchy 68;1006;Lausanne-Ouchy;VD;10.110.232.176
3578;Steinbislin 3;6423;Seewen;SZ;10.110.232.192
3581;Industriestrasse 23;5303;Würenlingen;AG;10.110.241.176
3582;Morgentalstrasse 22;8355;Aadorf;TG;10.110.232.208
3587;Bahnhofstrasse 80;5507;Mellingen;AG;10.110.232.224
3596;Zürcherstrasse 142;4052;Basel;BS;0
3602;Route du Moulin 2;1580;Avenches;VD;#N/A
3604;Baslerstrasse 128;5200;Umiken-Brugg;AG;0
3608;Rüdenweg 5;3067;Boll;BE;0
3611;Hardstrasse 49;4133;Pratteln;BL;0
3621;Landstrasse 62;5412;Gebenstorf;AG;10.110.233.0
3623;Bernstrasse 35;3506;Grosshöchstetten;BE;10.110.225.48
3626;Grosszaun 1;8754;Netstal;GL;10.110.233.16
3628;Obermattstrasse 1;8805;Richterswil;ZH;10.110.233.32
3634;Langsägestrasse 4;6010;Kriens;LU;10.110.233.48
3650;Avenue de la Gare 10;1400;Yverdon-les-Bains;VD;10.110.241.192
3651;Landstrasse 79;5430;Wettingen;AG;10.110.233.64
3655;Place de Chauderon 3;1003;Lausanne;VD;10.110.233.80
3658;Güterstrasse 115;4053;Basel;BS;10.110.226.80
3694;Route de la Chenevière 1;1763;Granges-Paccot;FR;10.110.233.96
3701;Rorschacherstrasse 92;9424;Rheineck;SG;10.110.233.112
3703;Rue du Bruye 65;2732;Reconvilier;BE;10.110.233.128
3712;Hofwiesenstrasse 5;8057;Zürich;ZH;10.110.241.208
3713;Tardisbrücke;7302;Landquart;GR;10.110.233.144
3716;Hochbergerstrasse 60;4057;Basel;BS;10.110.224.160
3717;Bützbergstrasse 103;4900;Langenthal;BE;10.110.225.64
3721;Bahnhofsplatz 3;7001;Chur;GR;10.110.225.160
3722;LU Raststätte A2 Neuenkirch OST;6023;Rothenburg;LU;10.110.233.160
3723;Espace de L'Europe 3;2000;Neuchâtel;NE;10.110.233.176
3725;Hegenheimermattweg 119;4123;Allschwil;BL;10.110.233.192
3726;Avenue de Morges 185;1004;Lausanne;VD;10.110.233.208
3727;Bielstrasse 30;3250;Lyss;BE;10.110.233.224
3728;Luzernerstrasse 33;5630;Muri;AG;10.110.233.240
3729;Frutigenstrasse 71;3604;Thun;BE;10.110.234.0
3730;Pantunweg 2;7430;Thusis;GR;10.110.234.16
3731;Industriestrasse 2;8424;Embrach;ZH;10.110.234.32
